,indice,ac_teste,ac_treino,perc_posi,perc_posi_teste
0,2002-1_2012-1,56.52866242038217,49.8812351543943,0.6546248511314013,0.615993665874901
1,2002-2_2012-2,54.14012738853503,49.446202531645575,0.36428571428571427,0.37183544303797467
2,2002-3_2012-3,56.77830940988836,48.77276326207443,0.6575288041319031,0.6104513064133017
3,2002-4_2012-4,56.2200956937799,49.008723235527356,0.6548707753479125,0.612212529738303
4,2002-5_2012-5,55.62649640861931,48.77081681205392,0.5934765314240255,0.555908009516257
5,2002-6_2012-6,56.30990415335463,48.6122125297383,0.5933147632311978,0.5543219666931007
6,2002-7_2012-7,56.54952076677316,48.333333333333336,0.5736464968152867,0.5357142857142857
7,2002-8_2012-8,56.38977635782748,48.29500396510706,0.5726223637087147,0.5305313243457573
8,2002-9_2012-9,56.38977635782748,48.530579825258144,0.5726802070888093,0.5313741064336776
9,2002-10_2012-10,56.27498001598721,48.2922954725973,0.5729083665338646,0.5321683876092137
10,2002-11_2012-11,56.24,48.054011119936455,0.5866879234754883,0.5409054805401112
11,2002-12_2012-12,56.00000000000001,48.289578361177405,0.5859593139210212,0.5401750198886237
12,2003-1_2013-1,56.08974358974359,47.88844621513944,0.5884938074310827,0.5442231075697211
13,2003-2_2013-2,55.93900481540931,47.92663476874004,0.5876,0.5494417862838915
14,2003-3_2013-3,55.85874799357945,47.84688995215311,0.586,0.5486443381180224
15,2003-4_2013-4,55.85874799357945,47.80526735833999,0.584233693477391,0.5450917797286512
16,2003-5_2013-5,55.7784911717496,47.24660814046289,0.5822328931572629,0.5426975259377494
17,2003-6_2013-6,56.18971061093247,46.84756584197925,0.5822987585102123,0.5403032721468476
18,2003-7_2013-7,55.78778135048231,48.00319488817891,0.5745192307692307,0.5359424920127795
19,2003-8_2013-8,52.89389067524116,46.1292897047087,0.48338005606728074,0.45251396648044695
20,2003-9_2013-9,52.572347266881025,46.08626198083067,0.48197115384615385,0.4528753993610224
21,2003-10_2013-10,52.491961414791,46.48562300319489,0.48197115384615385,0.45527156549520764
22,2003-11_2013-11,51.929260450160776,46.60271782573941,0.4785571142284569,0.45643485211830537
23,2003-12_2013-12,51.64923572003218,46.442845723421264,0.47955092221331197,0.4580335731414868
24,2004-1_2014-1,52.09339774557166,46.437149719775825,0.47892412685668406,0.45316253002401924
25,2004-2_2014-2,52.296535052377116,46.27702161729383,0.4799196787148594,0.45476381104883906
26,2004-3_2014-3,52.5,46.59182036888532,0.45355850422195415,0.429831595829992
27,2004-4_2014-4,52.016129032258064,46.07371794871795,0.48633440514469456,0.46073717948717946
28,2004-5_2014-5,52.988691437802906,46.832397754611065,0.32877263581488936,0.3103448275862069
29,2004-6_2014-6,52.988691437802906,46.34538152610442,0.3387031816351188,0.3228915662650602
30,2004-7_2014-7,52.708164915117216,46.1847389558233,0.33601933924254634,0.3253012048192771
31,2004-8_2014-8,52.42718446601942,46.10441767068273,0.3349455864570738,0.327710843373494
32,2004-9_2014-9,50.728155339805824,45.863453815261046,0.48246674727932287,0.4602409638554217
33,2004-10_2014-10,51.050080775444265,45.622489959839356,0.4828836085380588,0.4578313253012048
34,2004-11_2014-11,54.40582053354891,46.42570281124498,0.43593875906526997,0.44899598393574297
35,2004-12_2014-12,54.28802588996764,46.10441767068273,0.3921805723498589,0.39196787148594375
36,2005-1_2015-1,54.33198380566802,45.29364440868866,0.38619854721549635,0.37731295253419145
37,2005-2_2015-2,54.170040485829965,46.17860016090105,0.44713478611783697,0.45132743362831856
38,2005-3_2015-3,54.5748987854251,46.74175382139984,0.4269572235673931,0.4255832662912309
39,2005-4_2015-4,54.36893203883495,46.463022508038584,0.44717741935483873,0.44694533762057875
40,2005-5_2015-5,54.45705024311182,46.41995172968624,0.44771901493742433,0.4489139179404666
41,2005-6_2015-6,54.29497568881686,46.017699115044245,0.44691158659668956,0.4481094127111826
42,2005-7_2015-7,55.06072874493927,45.534995977473855,0.45117029862792574,0.4489139179404666
43,2005-8_2015-8,55.26742301458671,44.68599033816425,0.5117124394184168,0.4919484702093398
44,2005-9_2015-9,52.91734197730956,49.637972646822206,0.8405329027048849,0.8608205953338697
45,2005-10_2015-10,52.26904376012966,43.76508447304908,0.4352038756560355,0.4086886564762671
46,2005-11_2015-11,55.10534846029174,43.76508447304908,0.5054501412999596,0.4835076427996782
47,2005-12_2015-12,54.619124797406805,44.167337087691074,0.4404521598708115,0.43765084473049076
48,2006-1_2016-1,54.46428571428571,43.83561643835616,0.43995147594015366,0.4383561643835616
49,2006-2_2016-2,54.26482534524777,43.82566585956417,0.4388663967611336,0.43825665859564167
50,2006-3_2016-3,55.925324675324674,46.89265536723164,0.6394172399838122,0.6513317191283293
51,2006-4_2016-4,55.88952071486596,47.94188861985472,0.6400809716599191,0.6529459241323649
52,2006-5_2016-5,54.0650406504065,48.264729620661825,0.799918995544755,0.7917675544794189
53,2006-6_2016-6,53.08943089430894,52.70379338175948,0.43823410287565817,0.45601291364003227
54,2006-7_2016-7,53.98373983739837,52.4232633279483,0.4112641815235008,0.42487883683360256
55,2006-8_2016-8,53.73983739837398,47.576736672051695,0.7856564019448946,0.77140549273021
56,2006-9_2016-9,55.60975609756098,48.22294022617125,0.6045380875202593,0.5969305331179321
57,2006-10_2016-10,55.24816924328723,45.91754244139047,0.527169505271695,0.5125303152789006
58,2006-11_2016-11,53.990228013029316,49.19093851132686,0.7686688311688312,0.7532362459546925
59,2006-12_2016-12,54.071661237785015,50.767987065481,0.43610547667342797,0.44543249797898143
